Name,WHO_Region,Cases___cumulative_total,Cases___cumulative_total_per_100000_population,Cases___newly_reported_in_last_7_days,Cases___newly_reported_in_last_7_days_per_100000_population,Cases___newly_reported_in_last_24_hours,Deaths___cumulative_total,Deaths___cumulative_total_per_100000_population,Deaths___newly_reported_in_last_7_days,Deaths___newly_reported_in_last_7_days_per_100000_population,Deaths___newly_reported_in_last_24_hours,Transmission_Classification
Global,,148329348,1900.1209975033048,5749299,73.64937484134798,763656,3128962,40.082468350025614,90858,1.1639044863269759,12260,
United States of America,Americas,31783375,9602.15,376186,113.65,40461,567327,171.4,4872,1.47,485,Community transmission
India,South-East Asia,17997267,1304.15,2381137,172.55,360960,201187,14.58,18634,1.35,3293,Clusters of cases
Brazil,Americas,14369423,6760.19,395728,186.17,28636,391936,184.39,17254,8.12,1139,Community transmission
France,Europe,5447883,8376.29,190837,293.42,29980,102890,158.2,1973,3.03,315,Community transmission
Russian Federation,Europe,4787273,3280.43,60148,41.22,7848,109367,74.94,2661,1.82,387,Clusters of cases
Turkey,Europe,4710582,5585.29,325958,386.49,43301,39057,46.31,2444,2.9,346,Community transmission
The United Kingdom,Europe,4409635,6495.65,16324,24.05,2685,127451,187.74,144,0.21,17,Community transmission
Italy,Europe,3981512,6675.74,90449,151.65,10398,119912,201.05,2279,3.82,373,Clusters of cases
Spain,Europe,3496134,7386.31,53309,112.63,4420,77855,164.48,268,0.57,12,Community transmission
Germany,Europe,3332532,4007.05,144340,173.56,22231,82280,98.93,1646,1.98,312,Community transmission
Argentina,Americas,2879677,6371.56,165202,365.53,18793,62087,137.37,2611,5.78,443,Community transmission
Colombia,Americas,2787303,5477.88,120167,236.16,12839,71799,141.11,3051,6.0,448,Community transmission
Poland,Europe,2776927,7315.76,58434,153.94,8893,66533,175.28,3060,8.06,636,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2438193,2902.85,151266,180.09,20963,70532,83.97,3007,3.58,462,Community transmission
Mexico,Americas,2329534,1806.78,22624,17.55,1143,215113,166.84,2647,2.05,166,Community transmission
Ukraine,Europe,2047838,4682.51,73720,168.57,9590,43391,99.22,2595,5.93,441,Community transmission
Peru,Americas,1768186,5362.71,60399,183.18,6611,60013,182.01,2476,7.51,289,Community transmission
Indonesia,South-East Asia,1651794,603.89,36945,13.51,4656,44939,16.43,1162,0.42,168,Community transmission
Czechia,Europe,1626033,15205.18,16172,151.23,3256,29141,272.5,430,4.02,66,Community transmission
South Africa,Africa,1577200,2659.31,8834,14.89,880,54237,91.45,350,0.59,51,Community transmission
Netherlands,Europe,1472674,8459.96,55097,316.51,5373,17093,98.19,129,0.74,31,Community transmission
Canada,Americas,1187918,3147.46,56145,148.76,8932,24024,63.65,357,0.95,59,Community transmission
Chile,Americas,1179772,6171.58,43337,226.7,4158,26020,136.11,703,3.68,45,Community transmission
Romania,Europe,1049539,5429.91,15536,80.38,2019,27683,143.22,1065,5.51,172,Community transmission
Iraq,Eastern Mediterranean,1045010,2598.07,51852,128.91,7152,15348,38.16,288,0.72,45,Community transmission
Philippines,Western Pacific,1013618,924.99,60538,55.24,7204,16916,15.44,775,0.71,63,Community transmission
Belgium,Europe,979034,8496.76,16513,143.31,1,24104,209.19,237,2.06,5,Community transmission
Sweden,Europe,953254,9230.17,36443,352.87,3072,13968,135.25,20,0.19,1,Community transmission
Israel,Europe,838285,9684.95,865,9.99,92,6361,73.49,16,0.18,7,Community transmission
Portugal,Europe,834991,8109.93,3346,32.5,353,16970,164.82,19,0.18,5,Clusters of cases
Pakistan,Eastern Mediterranean,804939,364.4,38057,17.23,4487,17329,7.84,876,0.4,142,Community transmission
Hungary,Europe,774399,7926.68,17039,174.41,1692,27172,278.13,1385,14.18,188,Community transmission
Bangladesh,South-East Asia,751659,456.41,23879,14.5,3031,11228,6.82,640,0.39,78,Community transmission
Jordan,Eastern Mediterranean,706355,6922.92,14174,138.92,1815,8707,85.34,335,3.28,47,Community transmission
Serbia,Europe,683799,9871.92,15862,229.0,2145,6286,90.75,228,3.29,29,Community transmission
Switzerland,Europe,650965,7521.59,10928,126.27,5,9926,114.69,26,0.3,0,Community transmission
Austria,Europe,608447,6835.67,14390,161.67,1557,9874,110.93,165,1.85,20,Community transmission
Japan,Western Pacific,575563,455.08,34067,26.94,4523,10055,7.95,345,0.27,51,Clusters of cases
Lebanon,Eastern Mediterranean,522763,7659.03,9757,142.95,1182,7197,105.44,202,2.96,26,Community transmission
United Arab Emirates,Eastern Mediterranean,514591,5202.93,13731,138.83,2094,1578,15.95,19,0.19,5,Clusters of cases
Morocco,Eastern Mediterranean,509972,1381.64,3303,8.95,507,9005,24.4,46,0.12,6,Community transmission
Saudi Arabia,Eastern Mediterranean,414219,1189.81,7209,20.71,1045,6922,19.88,76,0.22,9,Community transmission
Bulgaria,Europe,401109,5770.12,10198,146.7,1850,16182,232.78,664,9.55,81,Clusters of cases
Malaysia,Western Pacific,398451,1231.08,18978,58.64,2733,1462,4.52,73,0.23,13,Community transmission
Slovakia,Europe,381180,6984.04,3707,67.92,682,11611,212.74,307,5.62,39,Clusters of cases
Ecuador,Americas,375329,2127.35,14175,80.34,554,18389,104.23,645,3.66,89,Community transmission
Kazakhstan,Europe,363871,1937.89,13884,73.94,0,4345,23.14,188,1.0,0,Clusters of cases
Panama,Americas,363165,8416.79,2121,49.16,198,6212,143.97,23,0.53,3,Community transmission
Belarus,Europe,354669,3753.38,8671,91.76,823,2512,26.58,69,0.73,10,Community transmission
Greece,Europe,337723,3150.82,17094,159.48,3287,10179,94.97,552,5.15,92,Community transmission
Croatia,Europe,327737,8075.99,14314,352.72,2904,7001,172.52,309,7.61,44,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,322307,6317.99,9186,180.07,1414,3469,68.0,123,2.41,17,Community transmission
Azerbaijan,Europe,315119,3107.94,11261,111.06,1307,4429,43.68,226,2.23,27,Clusters of cases
Nepal,South-East Asia,307925,1056.82,20358,69.87,4364,3194,10.96,92,0.32,18,Clusters of cases
Georgia,Europe,307401,7705.88,8363,209.64,1551,4077,102.2,106,2.66,17,Community transmission
Tunisia,Eastern Mediterranean,303584,2568.69,14354,121.45,1957,10444,88.37,526,4.45,92,Community transmission
Bolivia (Plurinational State of),Americas,298778,2559.56,8416,72.1,1119,12861,110.18,195,1.67,37,Community transmission
Kuwait,Eastern Mediterranean,269681,6314.87,9813,229.78,1446,1535,35.94,67,1.57,8,Community transmission
